timestamp,underlying,maturity,strike,side,lots_change,synthetic_lots_before,synthetic_lots_after,mult,trade_price,combined_delta_lots,threshold_lots,universal_mid,universal_spot
2026-05-14T09:26:46,SENSEX,14-May-26,75000,BUY,3.0,0.0,3,20.0,75086.70722810336,-2.8546964067320446,2.7381821067030785,75084.20701968054,75077.94783666915
2026-05-14T09:27:25,SENSEX,14-May-26,75000,SELL,-3.0,3.0,0,20.0,75045.45378230952,2.9057117314493723,2.7408741554530494,75047.52479403265,75041.27992390362
2026-05-14T09:29:12,SENSEX,14-May-26,75000,BUY,3.0,0.0,3,20.0,75087.70726170983,-3.18025617465928,2.8059518016769083,75087.14479591262,75080.92796680643
2026-05-14T09:30:57,SENSEX,14-May-26,75000,SELL,-3.0,3.0,0,20.0,75042.50350177458,3.07061201895251,2.763010100402861,75044.86633825758,75038.68354873137
2026-05-14T09:34:43,SENSEX,14-May-26,75000,SELL,-3.0,0.0,-3,20.0,75009.90080703942,2.824658361375043,2.8245021801209123,75009.60948079506,75003.49526089145
2026-05-14T09:36:53,SENSEX,14-May-26,75000,SELL,-4.0,-3.0,-7,20.0,74959.54672290677,3.911555420034901,2.751738856947118,74956.06739058143,74949.99524913417
2026-05-14T09:37:27,SENSEX,14-May-26,75000,SELL,-3.0,-7.0,-10,20.0,74907.24249823189,2.7691669269347026,2.7103626684015345,74917.83526741712,74911.77628332321
2026-05-14T09:37:54,SENSEX,14-May-26,75000,BUY,3.0,-10.0,-7,20.0,74951.44607827692,-2.750404029003228,2.7409654960988337,74951.75014135975,74945.69625326409
2026-05-14T09:38:37,SENSEX,14-May-26,75000,SELL,-3.0,-7.0,-10,20.0,74917.64336154712,2.643543401633382,2.6400634641827114,74916.69731559829,74910.65856784489
2026-05-14T09:39:33,SENSEX,14-May-26,75000,SELL,-3.0,-10.0,-13,20.0,74870.9896292995,2.807799319872313,2.577558380260009,74873.27687114771,74867.25806563914
2026-05-14T09:41:02,SENSEX,14-May-26,75000,SELL,-3.0,-13.0,-16,20.0,74837.386984135,2.5687591479547205,2.5487522594794236,74837.88702415918,74831.89685277165
2026-05-14T09:44:25,SENSEX,14-May-26,75000,SELL,-2.0,-16.0,-18,20.0,74793.1836090773,2.4119378362216253,2.3996500890831127,74789.81626755363,74783.88891289882
2026-05-14T09:45:57,SENSEX,14-May-26,75000,BUY,3.0,-18.0,-15,20.0,74842.28755666834,-2.7678149877390403,2.5622791675641525,74843.14551424602,74837.24047554265
2026-05-14T09:46:29,SENSEX,14-May-26,75000,BUY,4.0,-15.0,-11,20.0,74900.34214943569,-3.501084425870067,2.7526126928299157,74901.20797267545,74895.30761713744
2026-05-14T09:46:42,SENSEX,14-May-26,75000,SELL,-3.0,-11.0,-14,20.0,74867.53957227472,2.6854772709947774,2.640629491166896,74868.21462541714,74862.32075063541
2026-05-14T09:48:26,SENSEX,14-May-26,75000,SELL,-3.0,-14.0,-17,20.0,74825.78635537378,2.584522067565853,2.5656551423091543,74827.93260740957,74822.07199199333
2026-05-14T09:48:38,SENSEX,14-May-26,75000,SELL,-3.0,-17.0,-20,20.0,74786.73330659089,2.606926901064785,2.476451328572643,74785.15275157482,74779.29895822938
2026-05-14T09:52:19,SENSEX,14-May-26,75000,BUY,3.0,-20.0,-17,20.0,74819.93606035635,-2.611374454701501,2.5661991783621176,74817.98978043342,74812.19774834755
2026-05-14T09:53:09,SENSEX,14-May-26,75000,SELL,-3.0,-17.0,-20,20.0,74781.13309848221,2.845307153117151,2.4837295238845383,74782.781392612,74777.00645587676
2026-05-14T09:53:22,SENSEX,14-May-26,75000,SELL,-3.0,-20.0,-23,20.0,74744.93031609207,2.5166890685586942,2.3944788596694786,74743.79952150468,74738.03148962362
2026-05-14T09:56:51,SENSEX,14-May-26,75000,SELL,-2.0,-23.0,-25,20.0,74711.67798336419,2.48396064545042,2.3630278631034853,74709.99694531588,74704.29199495168
2026-05-14T09:58:49,SENSEX,14-May-26,75000,SELL,-2.0,-25.0,-27,20.0,74683.9260091004,2.3979848412408877,2.300465877996602,74683.24113767591,74677.57247087096
2026-05-14T09:59:27,SENSEX,14-May-26,75000,SELL,-2.0,-27.0,-29,20.0,74652.82369915061,2.3303177995972923,2.2119046038512593,74653.52905517202,74647.87356768813
2026-05-14T09:59:45,SENSEX,14-May-26,75000,BUY,2.0,-29.0,-27,20.0,74696.67704208588,-2.384209495174492,2.344306240205349,74696.60731201616,74690.95367370395
2026-05-14T10:00:40,SENSEX,14-May-26,75000,BUY,2.0,-27.0,-25,20.0,74726.57936381675,-2.4245158650243077,2.406339592103821,74723.97067769716,74718.33095140166
